id_lista,categoria,classe,geometria,nome_geografico,lat,long,uf
123,AER,pista_ponto_pouso,Linha,Aeródromo Comandante Almir Mendes de Oliveira,-16.0609,-41.17,MG
124,AER,pista_ponto_pouso,Linha,Aeródromo Comandante Antonio Amilton Beraldo,-25.1844,-50.1438,PR
125,AER,pista_ponto_pouso,Linha,Aeródromo Comandante Tonho Dondê,-15.2455,-54.4925,MT
126,AER,pista_ponto_pouso,Linha,Aeródromo Comandante Zequinha / Grand Lake,-16.6716,-48.0106,GO
127,AER,pista_ponto_pouso,Linha,Aeródromo Conceição do Araguaia,-8.34869,-49.3016,PA
128,AER,pista_ponto_pouso,Linha,Aeródromo Condomínio Boa Esperança,-8.40638,-45.4414,PI
129,AER,pista_ponto_pouso,Linha,Aeródromo Confresa,-10.6337,-51.5656,MT
130,AER,pista_ponto_pouso,Linha,Aeródromo Conquista do Pontal,-22.3849,-52.1104,SP
131,AER,pista_ponto_pouso,Linha,Aeródromo Coroa do Avião,-7.84243,-34.8926,PE
132,AER,pista_ponto_pouso,Linha,Aeródromo Coronel Aviador Carlos Orleans Guimarães,-20277,-50.2146,SP
133,AER,pista_ponto_pouso,Linha,Aeródromo Costa Esmeralda,-27167,-48622,SC
134,AER,pista_ponto_pouso,Linha,Aeródromo Creputiá,-8.11811,-57.1089,PA
135,AER,pista_ponto_pouso,Linha,Aeródromo Cristiano Ferreira Varella,-21.1259,-42.3946,MG
136,AER,pista_ponto_pouso,Linha,Aeródromo Cucuí,1.12492,-66.8438,AM
137,AER,pista_ponto_pouso,Linha,Aeródromo Curiaú,0.208853,-51.0128,AP
138,AER,pista_ponto_pouso,Linha,Aeródromo Curvelo,-18.7495,-44.4568,MG
139,AER,pista_ponto_pouso,Linha,Aeródromo de Barreirinhas,-2.75658,-42803,MA
140,AER,pista_ponto_pouso,Linha,Aeródromo de Cabo Frio,-22.9213,-42.0724,RJ
141,AER,pista_ponto_pouso,Linha,Aeródromo de Campos Sales,-7.05231,-40.3575,CE
142,AER,pista_ponto_pouso,Linha,Aeródromo de Canindé,-4.32501,-39.2505,CE
143,AER,pista_ponto_pouso,Linha,Aeródromo de Iguatu,-6.3462,-39.2949,CE
144,AER,pista_ponto_pouso,Linha,Aeródromo de Iturama,-19.7161,-50.2208,MG
145,AER,pista_ponto_pouso,Linha,Aeródromo de Laguna,-28.3902,-48.7547,SC
146,AER,pista_ponto_pouso,Linha,Aeródromo de Limoeiro do Norte (Dnocs),-5.12299,-37.9711,CE
147,AER,pista_ponto_pouso,Linha,Aeródromo de Mombaça,-5.72914,-39.5982,CE
148,AER,pista_ponto_pouso,Linha,Aeródromo de Morada Nova,-5.09069,-38369,CE
149,AER,pista_ponto_pouso,Linha,Aeródromo Derso Portilho Vieira,-11.4253,-52.2192,MT
150,AER,pista_ponto_pouso,Linha,Aeródromo de Russas,-4.94737,-38.0083,CE
151,AER,pista_ponto_pouso,Linha,Aeródromo Descalvados,-16.7376,-57.7578,MT
152,AER,pista_ponto_pouso,Linha,Aeródromo Descalvados,-16.7376,-57.7577,MT
153,AER,pista_ponto_pouso,Linha,Aeródromo de Sertanópolis,-23062,-51.0139,PR
154,AER,pista_ponto_pouso,Linha,Aeródromo Destilaria Medasa,-17.4914,-40.1565,BA
155,AER,pista_ponto_pouso,Linha,Aeródromo Destilaria São Luiz,-8.77929,-35.7876,PE
156,AER,pista_ponto_pouso,Linha,Aeródromo de Tamboril,-4.85752,-40.3748,CE
157,AER,pista_ponto_pouso,Linha,Aeródromo de Três Barras,-26.1354,-50.3109,SC
158,AER,pista_ponto_pouso,Linha,Aeródromo Diamantina,-18.2333,-43.6508,MG
159,AER,pista_ponto_pouso,Linha,Aeródromo Dias Branco (Eusébio),-3.91632,-38.4909,CE
160,AER,pista_ponto_pouso,Linha,Aeródromo Diomício Freitas,-28.7257,-49.4243,SC
161,AER,pista_ponto_pouso,Linha,Aeródromo Dionísio Cerqueira,-26.2886,-53.6305,SC
