CD_UF,NM_UF,SG_UF,CD_MUNIC,NM_MUNIC,IDCQ0001,OCORRENCIA,CD_LQ,PREFIXO,NM_CQ,CD_AGLOM,NM_AGLOM,CD_TQ,NM_TQ,P_FCP,Lat_d,Long_d,
31,MINAS GERAIS,MG,3116159,Chapada Gaúcha,740,1,3116159007401,COMUNIDADE QUILOMBOLA,BARRO VERMELHO,,,,,01420.002991/2009-23,-15.5053,-45.3993,
31,MINAS GERAIS,MG,3112307,Capelinha,767,1,3112307007671,COMUNIDADE QUILOMBOLA,BATERIA RIACHO,15,COMUNIDADE QUILOMBOLA SANTO ANTÔNIO DO FANADO,,,01420.101580/2021-14,-17.5888,-42.4227,
31,MINAS GERAIS,MG,3116100,Chapada do Norte,768,1,3116100007681,COMUNIDADE QUILOMBOLA,BATIEIRO,,,,,,-17.0336,-42.5368,
31,MINAS GERAIS,MG,3106507,Berilo,775,1,3106507007751,COMUNIDADE QUILOMBOLA,BAU,,,,,,-16.9216,-42.4350,
31,MINAS GERAIS,MG,3161908,São Gonçalo do Rio Abaixo,776,1,3161908007761,COMUNIDADE QUILOMBOLA,BAU,,,,,,-19.7906,-43.2568,
31,MINAS GERAIS,MG,3103009,Antônio Dias,777,1,3103009007771,COMUNIDADE QUILOMBOLA,BAU,8,COMUNIDADE QUILOMBOLA ARRAIAL DO BAÚ,,,,-19.6117,-42.9752,
31,MINAS GERAIS,MG,3102902,Antônio Carlos,778,1,3102902007781,COMUNIDADE QUILOMBOLA,BAU,,,,,01420.000278/2009-45,-21.3100,-43.7510,
31,MINAS GERAIS,MG,3167103,Serro,779,1,3167103007791,COMUNIDADE QUILOMBOLA,BAU,,,,,01420.001509/2007-76,-18.5058,-43.5285,
31,MINAS GERAIS,MG,3103405,Araçuaí,780,1,3103405007801,COMUNIDADE QUILOMBOLA,BAU,7,COMUNIDADE QUILOMBOLA BAÚ,,,01420.001107/2007-71,-16.7029,-41.9768,
31,MINAS GERAIS,MG,3150802,Piranga,781,1,3150802007811,COMUNIDADE QUILOMBOLA,BAÚ,13,COMUNIDADE QUILOMBOLA NO BAU,,,,-20.7455,-43.2800,
31,MINAS GERAIS,MG,3139300,Manga,787,1,3139300007871,COMUNIDADE QUILOMBOLA,BEBEDOURO,5,COMUNIDADE QUILOMBOLA BEBEDOURO,,,01420.002951/2006-39,-14.6536,-44.0056,
31,MINAS GERAIS,MG,3116100,Chapada do Norte,797,1,3116100007971,COMUNIDADE QUILOMBOLA,BEIRA CAPIVARI,,,,,,-17.0187,-42.5289,
