CD_UF,NM_UF,SG_UF,CD_MUNIC,NM_MUNIC,IDCQ0001,OCORRENCIA,CD_LQ,PREFIXO,NM_CQ,CD_AGLOM,NM_AGLOM,CD_TQ,NM_TQ,P_FCP,lat,long,,,,,,,,,,
29,BAHIA,BA,2926400,Riacho de Santana,59,1,2926400000591,COMUNIDADE QUILOMBOLA,AGRESTE,7,COMUNIDADE QUILOMBOLA AGRESTE,,,01420.000247/2005-61,-13.8737034998,-43.2118684349,,,,,,,,,,
26,PERNAMBUCO,PE,2604106,Caruaru,60,1,2604106000601,COMUNIDADE QUILOMBOLA,AGRESTE DE PAU SANTO,160,COMUNIDADE QUILOMBOLA AGRESTE DE PAU SANTO,,,,-8.34711255,-35.9025521495554,,,,,,,,,,
29,BAHIA,BA,2923407,Palmas de Monte Alto,61,1,2923407000611,COMUNIDADE QUILOMBOLA,AGRESTINHO,,,,,,-14.2474053054,-43.1593610861,,,,,,,,,,
29,BAHIA,BA,2926400,Riacho de Santana,62,1,2926400000621,COMUNIDADE QUILOMBOLA,AGRESTINHO,8,COMUNIDADE QUILOMBOLA AGRESTINHO,,,01420.001845/2005-57,-13.9785738053,-43.2207099644,,,,,,,,,,
15,PARÁ,PA,1504703,Moju,63,1,1504703000631,COMUNIDADE QUILOMBOLA,AGRICULTORES DE SÃO MANOEL,24,COMUNIDADE QUILOMBOLA SÃO MANOEL,23,SÃO MANOEL - PA,,-1.81795199996,-48.5265985148,,,,,,,,,,
31,MINAS GERAIS,MG,3169901,Ubá,64,1,3169901000641,COMUNIDADE QUILOMBOLA,AGROCERES,9,COMUNIDADE QUILOMBOLA NAMASTÊ,,,,-21.1125992638,-42.926131681,,,,,,,,,,
15,PARÁ,PA,1506302,Salvaterra,65,1,1506302000651,COMUNIDADE QUILOMBOLA,ÁGUA BOA,30,COMUNIDADE QUILOMBOLA AGUA BOA,,,01420.005952/2016-15,-0.849335791641,-48.5155403194,,,,,,,,,,
29,BAHIA,BA,2921401,Mirangaba,66,1,2921401000661,COMUNIDADE QUILOMBOLA,ÁGUA BRANCA,,,,,,-10.9576700555,-40.5730916379,,,,,,,,,,
29,BAHIA,BA,2923407,Palmas de Monte Alto,67,1,2923407000671,COMUNIDADE QUILOMBOLA,ÁGUA BRANCA,,,,,,-14.2604869582,-43.17107007,,,,,,,,,,
17,TOCANTINS,TO,1705607,Conceição do Tocantins,68,1,1705607000681,COMUNIDADE QUILOMBOLA,ÁGUA BRANCA,,,,,01420.016741/2014-38,-12.2558013472,-47.4309704166,,,,,,,,,,
31,MINAS GERAIS,MG,3148608,Peçanha,69,1,3148608000691,COMUNIDADE QUILOMBOLA,ÁGUA BRANCA E JORGES,,,,,01420.100946/2017-43,-18.6420523887,-42.5200291888,,,,,,,,,,
29,BAHIA,BA,2911303,Gentio do Ouro,70,1,2911303000701,COMUNIDADE QUILOMBOLA,ÁGUA DOCE,,,,,01420.102372/2018-29,-11.3070966249,-42.4272102366,,,,,,,,,,
51,MATO GROSSO,MT,5101704,Barra do Bugres,71,1,5101704000711,COMUNIDADE QUILOMBOLA,ÁGUA DOCE,,,,,01420.010181/2015-99,-15.2469033055,-56.9695683335,,,,,,,,,,
29,BAHIA,BA,2901205,Anagé,72,1,2901205000721,COMUNIDADE QUILOMBOLA,ÁGUA DOCE,,,,,01420.008818/2013-15,-14.5178162777,-40.703689558,,,,,,,,,,
51,MATO GROSSO,MT,5103403,Cuiabá,73,1,5103403000731,COMUNIDADE QUILOMBOLA,ÁGUA FRIA,,,,,,-15.5400756387,-56.0703594722,,,,,,,,,,
51,MATO GROSSO,MT,5103007,Chapada dos Guimarães,74,1,5103007000741,COMUNIDADE QUILOMBOLA,ÁGUA FRIA,,,,,,-15.1813129164,-55.7506704362,,,,,,,,,,
15,PARÁ,PA,1505304,Oriximiná,75,1,1505304000751,COMUNIDADE QUILOMBOLA,ÁGUA FRIA,19,COMUNIDADE QUILOMBOLA ÁGUA FRIA,45,ÁGUA FRIA,01420.007680/2013-37,-1.51033580554,-56.017165139,,,,,,,,,,
29,BAHIA,BA,2930154,Serra do Ramalho,76,2,2930154000762,COMUNIDADE QUILOMBOLA,ÁGUA FRIA,,,,,01420.004840/2012-13,-13.2787297221,-43.5870407241,,,,,,,,,,
